"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"803","聯邦商業銀行","存款類12位\n電子商務繳款類14位","台北市承德路一段１０５號","02 25568500"
"通匯金融代號","支單位名稱","地址","電話"
"8030010","營業部","台北市承德路一段１０５號","02 25568500"
"8030021","台北分行","台北市民生東路三段１０９號","02 27180001"
"8030032","桃園分行","桃園縣桃園市縣府路３３２號","03 3395300"
"8030043","台中分行","台中市中港路二段九之五號","04 23285666"
"8030054","南京東路分行","台北市南京東路二段１３７號","02 25151333"
"8030065","中壢分行","桃園縣中壢市中央西路一段６２號","03 4265111"
"8030076","三重分行","台北縣三重市重新路三段１０號","02 29777666"
"8030098","東台北分行","台北市南京東路五段２１７號","02 27530900"
"8030102","高雄分行","高雄市光華一路２０４號","07 2265353"
"8030113","板橋分行","台北縣板橋市民權路２２６號","02 29656600"
"8030124","台南分行","台南市西門路四段２７１號","06 2513377"
"8030135","員林分行","彰化縣員林鎮中山路一段７８５號","04 8347666"
"8030157","仁愛分行","台北市仁愛路四段４０１號","02 27813366"
"8030168","南崁分行","桃園縣蘆竹鄉南崁村中正路１３７號","03 3229699"
"8030179","新竹分行","新竹市中正路１０７號１樓","03 5249966"
"8030180","蘆洲分行","台北縣蘆洲市中正路８０號","02 28485577"
"8030205","九如分行","高雄市九如二路４９５號","07 3118871"
"8030216","雙和分行","台北縣永和市中正路２２２號","02 29459898"
"8030227","迴龍分行","桃園縣龜山鄉萬壽路一段２５３號","02 82090808"
"8030238","嘉義分行","嘉義市中山路２８５號","05 2285908"
"8030249","公館分行","台北市羅斯福路三段２７２號","02 23692678"
"8030250","內壢分行","桃園縣中壢市中華路一段２５８號","03 4351288"
"8030261","忠孝分行","台北市忠孝東路四段２２３巷５號２Ｆ","02 27733456"
"8030272","新莊分行","台北縣新莊市思源路６０１號","02 85227799"
"8030283","鳳山分行","高雄縣鳳山市凱旋路２２４號","07 7638185"
"8030294","桃鶯分行","桃園縣桃園市桃鶯路３４３號","03 3779797"
"8030308","龍潭分行","桃園縣龍潭鄉中正路２４５號","03 4709188"
"8030319","新店分行","台北縣新店市民權路１００號","02 22199989"
"8030320","大直分行","台北市明水路６４９號","02 25323836"
"8030331","中山簡易型分行","台北市中山北路二段８３號","02 25717890"
"8030342","文心分行","台中市文心路四段２０８之１號","04 22980808"
"8030353","健行分行","桃園縣中壢市龍岡路二段９５號","03 4280808"
"8030364","中和分行","台北縣中和市建一路１５０號","02 82265168"
"8030375","內湖分行","台北市內湖區瑞光路３９９號","02 26586121"
"8030386","大園分行","桃園縣大園鄉中正東路５４號","03 3850505"
"8030397","永和分行","台北縣永和市永和路二段１３７號","02 86600808"
"8030401","中港簡易型分行","台北縣新莊市中港路３０８號","02 22769678"
"8030412","通化簡易型分行","台北市大安區通化街７４號","02 27395888"
"8030423","士東分行","台北市士林區士東路９１巷１－１號","02 28756161"
"8030434","微風簡易型分行","台北市復興南路一段３９號","02 87722858"
"8030445","長春分行","台北市長春路３２８號","02 25455588"
"8030456","松江分行","台北市松江路２２８號","02 25616601"
"8030467","大安分行","台北市敦化南路二段１４號","02 27049588"
"8030478","永吉分行","台北市永吉路３０６號","02 27480329"
"8030489","文林簡易型分行","台北市士林區文林路７５８號","02 28351818"
"8030490","東門分行","台北市信義路二段１０１號","02 23582345"
"8030504","敦化分行","台北市敦化南路一段２０９之１號","02 87733588"
"8030515","西湖分行","台北市內湖路一段８８號","02 87971537"
"8030526","北投分行","台北市中央北路一段６８號","02 28966333"
"8030537","北三重分行","台北縣三重市正義北路２４５號","02 29826226"
"8030548","後埔分行","台北縣板橋市重慶路７７號","02 29642777"
"8030559","北中和簡易型分行","台北縣中和市中山路三段１２２號","02 22219698"
"8030560","富國分行","台北縣新莊市富國路１０８號","02 22052299"
"8030571","樹林分行","台北縣樹林市中華路２７５號１樓","02 86858939"
"8030582","汐止分行","台北縣汐止市新台五路一段１５９號","02 86425289"
"8030593","北桃園分行","桃園縣桃園市永安路１９１號","03 3396262"
"8030607","北中壢分行","桃園縣中壢市元化路２２２∣２２４號","03 4261133"
"8030618","北台中分行","台中市文心路三段１３號","04 23118555"
"8030629","民權分行","台中市民權路１３５號","04 22206789"
"8030630","西屯分行","台中市西屯路二段２７７號","04 27022152"
"8030641","興中分行","台中市復興路一段４０６號","04 22614040"
"8030652","北屯分行","台中市文心路四段７０１號","04 22452636"
"8030663","南員林分行","彰化縣員林鎮三民街３７號","04 8326388"
"8030674","東嘉義分行","嘉義市公明路３７２之１號","05 2293922"
"8030685","府城分行","台南市中正路９２號","06 2290866"
"8030696","豐原分行","台中縣豐原市府前街１０２號","04 25228800"
"8030700","富強分行","台南市東門路三段１５號","06 2601268"
"8030711","開元分行","台南市開元路２２９號","06 2354445"
"8030722","南台南分行","台南市金華路一段３７９號１樓","06 2655663"
"8030733","苓雅分行","高雄市四維四路３０號","07 3386033"
"8030744","北高雄分行","高雄市九如二路５４８號","07 3223699"
"8030755","三民分行","高雄市三民區九如一路７３號１樓","07 3890258"
"8030766","五甲分行","高雄縣鳳山市南華路１７３號","07 7215866"
"8030777","屏東分行","屏東縣屏東市民族路１７２號","08 7326777"
"8030788","和平分行","台北市大安區和平東路３段６８－２號","02 27352828"
"8030799","永春分行","台北市信義區忠孝東路５段４５３號","02 27480188"
"8030803","田心分行","台北縣三重市忠孝路３段１６號","02 89821155"
"8030814","安康分行","台北縣新店市安康路二段１６１號","02 22119088"
"8030825","大竹分行","桃園縣蘆竹鄉大新路４３號","03 3134688"
"8030836","龜山分行","桃園縣龜山鄉萬壽路２段６８８號","03 3192323"
"8030847","林口分行","台北縣林口鄉忠孝路４６８號","02 26006969"
