通匯金融代號	總單位名稱	帳號長度	地址	電話
804	匯豐銀行－原中華銀行	14位	台北市忠孝西路一段６號	02 23880506
通匯金融代號	支單位名稱	地址	電話
8040011	忠孝分行	台北市忠孝西路一段６號	02 55588866
8040022	光復分行	台北市光復南路３號	02 55562888
8040033	中山分行	台北市林森北路３７２號	02 55547168
8040044	成功分行	桃園縣桃園市成功路二段６５號	03 3329600
8040055	文心分行	台中市文心路三段２３０號	04 35025199
8040066	府前分行	台南市府前路一段８８號	06 2283136
8040077	鳳山分行	高雄縣鳳山市五甲二路３５７號	07 9543003
8040099	南京東路分行	台北市南京東路三段７０號	02 55586666
8040103	重慶分行	台北縣板橋市重慶路１９８號	02 29633800
8040114	豐原分行	台中縣豐原市中山路２９５號	04 25292611
8040125	嘉義分行	嘉義市林森西路１５５號	05 2285168
8040136	民生分行	高雄市民生一路１１１號	07 9519299
8040158	新生分行	台北市新生南路一段１４８號	02 23579625
8040169	大順分行	高雄市大順三路２１８號	07 7259345
8040170	三重分行	台北縣三重市福德北路１２號	02 29733535
8040181	新竹分行	新竹市林森路１４９號	03 5229229
8040206	松江分行	台北市松江路２６６號	02 55536368
8040217	雙和分行	台北縣永和市林森路１２２之１號	02 22329500
8040228	彰化分行	彰化縣彰化市三民路４０７號	04 7266611
8040239	屏東分行	屏東縣屏東市民生路９１號	08 8000290
8040240	信義分行	台北市基隆路二段１２３號	02 55555558
8040251	基隆分行	基隆市義一路８７號	02 24260606
8040262	新莊分行	台北縣新莊市思源路３４５號	02 89911212
8040273	永康分行	台南縣永康市中華路２４７號	06 3115511
8040284	新店分行	台北縣新店市建國路２１９之１號	02 22183300
8040295	南港分行	台北市中坡北路９２號	02 27833663
8040309	中壢分行	桃園縣中壢市環西路６６號	03 4917777
8040310	南投分行	南投縣南投市民族路２６５號	0492203626
8040321	仁愛分行	台北市仁愛路二段２號	02 55812688
8040332	東興分行	台中市東興路三段３７９號	04 23106606
8040343	頭份分行	苗栗縣頭份鎮中華路１２０１號	037683369
8040354	羅東分行	宜蘭縣羅東鎮民權路１６５號	03 9573099
8040365	太原路分行	台北市太原路１５６之６號	02 25559359
8040376	前鎮分行	高雄市前鎮區一心二路１２８號	07 9525366
8040387	土城分行	台北縣土城市金城路三段２５７號	02 22746788
8040398	大安分行	台北市信義路三段１５１號	02 55511168
