"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"806","元大商業銀行","14位","台北市松山區敦化南路１段６６號","02 21736699"
"通匯金融代號","支單位名稱","地址","電話"
"8060013","台中分行","台中市民權路６６號","04 22271799"
"8060024","文心分行","台中市文心路三段３３７號","04 22970068"
"8060035","台北分行","台北市敦化南路二段３８號","02 27057888"
"8060046","沙鹿分行","台中縣沙鹿鎮中山路５３５號","04 26656656"
"8060057","豐原分行","台中縣豐原市圓環西路２３號","04 25293366"
"8060068","彰化分行","彰化縣彰化市中山路二段８９８號","04 7267001"
"8060079","員林分行","彰化縣員林鎮大同路二段２８３號","04 8356403"
"8060080","三重分行","台北縣三重市重新路三段１１１號","02 29832255"
"8060091","平鎮分行","桃園縣平鎮市環南路１８號","03 4942690"
"8060105","草屯分行","南投縣草屯鎮太平路二段１４６號","0492321661"
"8060116","永康分行","台南縣永康市小東路５１１號１樓","06 3126789"
"8060127","高雄分行","高雄市民族二路３８號","07 2229688"
"8060150","景美分行","台北市文山區景文街３號","02 86636766"
"8060161","新竹分行","新竹市民生路２７６號１樓","03 5456688"
"8060172","鹿港分行","彰化縣鹿港鎮中山路３２１號","04 7785799"
"8060183","斗信分行","雲林縣斗六市文化路２９號","05 5351799"
"8060194","嘉義分行","嘉義市中興路１８５號","05 2327469"
"8060219","南京東路分行","台北市南京東路三段２１９號１樓","02 25458777"
"8060220","永和分行","台北縣永和市永和路二段３２號","02 22325558"
"8060231","復興分行","台中市復興路一段２６９號","04 22616889"
"8060242","大里分行","台中縣大里市塗城路７２４號","04 24922288"
"8060253","博愛分行","高雄市明誠二路４９１號","07 5586088"
"8060264","苗栗分行","苗栗縣苗栗市中正路４５８號","037336678"
"8060275","崇德分行","台中市北屯區崇德路２段４６號","04 22329961"
"8060286","北斗分行","彰化縣北斗鎮光復路１６６號","04 8873881"
"8060297","佳里分行","台南縣佳里鎮文化路２７８號","06 7214888"
"8060301","大甲分行","台中縣大甲鎮中山路一段８３３號","04 26886088"
"8060312","虎尾分行","雲林縣虎尾鎮和平路一號","05 6339169"
"8060334","士林分行","台北市士林區中正路３１６號","02 28376638"
"8060345","南崁分行","桃園縣蘆竹鄉中正路３０９號","03 3129550"
"8060356","溪湖分行","彰化縣溪湖鎮東環路５５５號","04 8825656"
"8060367","古亭分行","台北市羅斯福路３段３７號１樓","02 23654567"
"8060378","新莊分行","台北縣新莊市中正路３７９號","02 22067799"
"8060389","中壢分行","桃園縣中壢市中央東路７號","03 4266007"
"8060404","三民分行","高雄市三民區建工路７１５號１樓","07 3951588"
"8060415","城中分行","台北市衡陽路４２號１樓","02 23822888"
"8060426","屏東分行","屏東縣屏東市廣東路６９０號１樓","08 7350426"
"8060448","斗南分行","雲林縣斗南鎮中山路６７號","05 5971138"
"8060482","板橋分行","台北縣板橋市中山路一段６９號１樓","02 29536789"
"8060493","桃園分行","桃園縣桃園市中山路４２９號","03 3372211"
"8060518","鳳山分行","高雄縣鳳山市五甲二路２８０號","07 7152700"
"8060529","東信分行","台東縣台東市中華路一段４２７號","089324351"
"8060585","內湖分行","台北市內湖區瑞光路６１８號","02 87518759"
"8060596","羅東分行","宜蘭縣羅東鎮中正北路３８號１樓","03 9568966"
"8060600","金門分行","金門縣金城鎮民權路１８８之１號","08 2322566"
"8060611","台南分行","台南市永華路３４８號","06 2938688"
"8060622","林口分行","桃園縣龜山鄉復興一路２３６號","03 3288999"
"8060633","竹北分行","新竹縣竹北市光明六路東一段２０８號","03 6581212"
"8060688","府城分行","台南市中西區民生路一段１６５號","06 2281281"
"8060699","府東分行","台南市東門路二段３４８號","06 2687815"
"8060714","岡山分行","高雄縣岡山鎮岡山路３８０號１樓","07 6218955"
"8060806","開元分行","台南市勝利路４６１號","06 2383125"
"8060828","安和分行","台南市安和路一段２２６號","06 2551236"
"8060839","中和分行","台北縣中和市泰和街１號","02 22456789"
"8060840","松江分行","台北市松江路１０９號１樓","02 25168608"
"8060851","竹科分行","新竹市光復路一段２６７號１、２樓","03 6667888"
"8060862","天母分行","台北市天母西路１４號","02 28712558"
"8060873","蘆洲分行","台北縣蘆洲市長榮路２３５號","02 22818958"
"8060884","信義分行","台北市信義路４段２３６之１號１樓","02 27032569"
"8060895","中山北路分行","台北市中山北路２段１３１號１樓","02 25217888"
"8060909","民生分行","台北市民生東路４段５２之１號","02 87129666"
"8060910","新店分行","台北縣新店市北新路二段２５２號１樓","02 29125799"
"8060932","忠孝分行","台北市忠孝東路５段２３８之１號１樓","02 87867778"
"8060943","桃興分行","桃園縣桃園市復興路５１之２號１樓","03 3385518"
"8060954","中港分行","台中市西屯區台中港路３段１０２之９號１樓","04 24650889"
"8060965","花蓮分行","花蓮縣花蓮市中山路７４號","03 8311708"
"8060976","承德分行","台北市承德路三段２１０號１樓","02 25920000"
"8060987","太平分行","台中縣太平市中興路５３號１樓","04 22702688"
"8060998","營業部","台北市敦化南路１段６６號","02 21736680"
"8061009","土城分行","台北縣土城市中央路１段２５５號","02 22703030"
"8061010","延吉分行","台北市大安區忠孝東路四段１８０號","02 27316177"
"8061021","大同分行","台北市大同區南京西路６６號","02 25585869"
"8061032","松山分行","台北市信義區忠孝東路五段６７５號","02 87857618"
"8061043","大安分行","台北市大安區新生南路一段１５５號","02 27090636"
"8061054","福林分行","台北市士林區中山北路五段６２６號","02 28325788"
"8061065","敦北分行","台北市松山區敦化北路２７０－２號","02 25475188"
"8061076","北三重分行","台北縣三重市正義北路１９５號","02 29829192"
"8061087","新泰分行","台北縣新莊市中正路２６７號","02 29905858"
"8061098","北新分行","台北縣新店市北新路二段２６８號","02 86656188"
"8061102","南高雄分行","高雄市前金區中正四路１４３號","07 2822101"
