"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"810","星展銀行－原寶華銀行","12位","台北市松山區南京東路五段１６１號","02 27567585"
"通匯金融代號","支單位名稱","地址","電話"
"8100010","台中分行","台中市進化北路１７０號","04 22309188"
"8100021","忠孝分行","台北市光復南路２０２號１樓","02 27119977"
"8100032","敦北分行","台北市敦化北路５６號１樓","02 27783311"
"8100043","高雄分行","高雄市三民區九如二路５９９號１樓","07 3232362"
"8100054","桃園分行","桃園縣桃園市中山路５０１號","03 3396060"
"8100065","豐原分行","台中縣豐原市三豐路４６號","04 25292766"
"8100076","林口分行","台北縣林口鄉中山路７１號１樓","02 26030808"
"8100098","台南分行","台南市南門路１０１號","06 2133939"
"8100102","大安分行","台北市金山南路二段２００號１樓","02 23935353"
"8100113","新樹分行","台北縣新莊市民安西路１４２號","02 22025656"
"8100124","太平分行","台中縣太平市中興路１３號","04 22778989"
"8100135","中清分行","台中市中清路７２之２７號","04 22960088"
"8100157","三重分行","台北縣三重市三和路三段６１號、６３號","02 66112303"
"8100168","蘆洲分行","台北縣蘆洲市長安街１０３號","02 28483138"
"8100179","松山分行","台北市松德路１０６號","02 27589066"
"8100180","中港分行","台中市台中港路二段６０之８號","04 23132468"
"8100205","南高雄分行","高雄市新興區中正二路１９２號","07 2232255"
"8100216","汐止分行","台北縣汐止市大同路二段２６３號","02 26493377"
"8100227","天母分行","台北市中山北路六段９１號１樓","02 66111211"
"8100238","八德分行","桃園縣八德市介壽路一段９５８號","03 3665555"
"8100249","大甲分行","台中縣大甲鎮信義路２９０號","04 26801234"
"8100250","永康分行","台南縣永康市中華路７２９之１號","06 2013959"
"8100261","板橋分行","台北縣板橋市板新路１０１號","02 89646800"
"8100272","中和分行","台北縣中和市中和路１７０號","02 22437711"
"8100283","楠梓分行","高雄市楠梓區建楠路６６號","07 3512196"
"8100294","民權分行","台中市西區民權路２１９號","04 23059966"
"8100308","苓雅分行","高雄市苓雅區青年一路１９３號","07 3313866"
"8100319","五褔分行","高雄市鹽埕區五褔四路９１號","07 5315163"
"8100320","彰化分行","彰化縣彰化市中正路二段５９９號","04 7284567"
"8100331","前鎮分行","高雄市前鎮區擴建一路１之１號","07 8214181"
"8100342","斗六分行","雲林縣斗六市中華路２１６號","05 5372388"
"8100353","鼎強分行","高雄市三民區天祥一路８８號","07 3472137"
"8100364","南京東路分行","台北市南京東路五段１６１號","02 27567585"
"8100375","莒光分行","高雄市左營區後昌路６６９號","07 3651092"
"8100386","中壢分行","桃園縣中壢市中平路８６－２號","03 4269900"
"8100397","新竹分行","新竹市北大路３４６號","03 5238733"
"8100401","大同分行","台北市民生西路２７２號","02 25560801"
"8100412","敦南分行","台北市敦化南路二段５６號","02 27055255"
"8100423","內湖分行","台北市內湖區瑞光路３００號","02 27991666"
