"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"814","大眾商業銀行","存放款類12位\n繳款類14位","台北市信義路５段２號３樓","02 87869888"
"通匯金融代號","支單位名稱","地址","電話"
"8140014","營業部","高雄市中正二路５８號","07 2235550"
"8140025","敦化分行","台北市敦化北路２０１號一樓前棟","02 25455569"
"8140036","屏東分行","屏東縣屏東市廣東路１１５號","08 7226060"
"8140047","高雄分行","高雄市中山二路２號","07 3362020"
"8140058","鳳山分行","高雄縣鳳山市中山西路３４２號","07 7403699"
"8140069","台南分行","台南市西門路三段１５７號","06 2266120"
"8140070","嘉義分行","嘉義市新榮路１９８號","05 2290666"
"8140081","台北分行","台北市松山區光復北路１１２號","02 25771015"
"8140092","新莊分行","台北縣新莊市四維路１０７號","02 22037676"
"8140106","中壢分行","桃園縣中壢市中央西路二段１５２號","03 4943000"
"8140117","台中分行","台中市文心路三段２３９號１樓","04 22938998"
"8140128","大昌分行","高雄市大昌二路１１１－１號","07 3814488"
"8140151","新生分行","台北市忠孝東路二段８８號","02 23216600"
"8140162","板橋分行","台北縣板橋市中山路二段４４３號","02 29559966"
"8140173","沙鹿簡易型分行","台中縣沙鹿鎮中山路４２８號","04 26621999"
"8140184","博愛分行","高雄市博愛一路２１８號","07 3160699"
"8140209","長春分行","台北市中山區長春路１４５號１樓","02 25626808"
"8140210","三重簡易型分行","台北縣三重市重新路三段９２號","02 29702899"
"8140221","桃園分行","桃園縣桃園市成功路一段３２號１１樓","03 3378588"
"8140232","永康分行","台南縣永康市中華路２１號","06 3128666"
"8140243","右昌分行","高雄市楠梓區後昌路８０３之１號","07 3649911"
"8140254","前金簡易型分行","高雄市中華三路２１７號","07 2722766"
"8140265","五甲簡易型分行","高雄縣鳳山市五甲二路４９０號","07 8319900"
"8140276","文山簡易型分行","台北市文山區景興路２０３號","02 29351715"
"8140287","中和分行","台北縣中和市連城路８７號","02 22405100"
"8140298","新營分行","台南縣新營市中山路１１７號","06 6333300"
"8140302","大和平分行","台北市大安區和平東路一段１１５號１樓","02 23432233"
"8140313","西台南分行","台南市西區金華路三段２３０號","06 2230006"
"8140324","內湖分行","台北市瑞光路５８３巷２１號","02 26271000"
"8140335","灣裡簡易型分行","台南市灣裡路２１１巷８８弄１２之６號","06 2623260"
"8140346","安南簡易型分行","台南市安南區安和路五段１８９號","06 3559083"
"8140357","江翠分行","台北縣板橋市文化路二段３２１號１樓","02 22581188"
"8140368","長庚分行","桃園縣龜山鄉復興街５號１樓","03 3975678"
"8140379","東台南分行","台南市崇學路８１號","06 3353688"
"8140380","信義分行","台北市信義路五段２號","02 87869788"
"8140391","新竹分行","新竹市光復路一段３２２號１樓","03 5643500"
"8140405","汐止分行","台北縣汐止市忠孝東路２８５號１樓","02 26417266"
"8140416","天母分行","台北市忠誠路一段２７號","02 28385959"
"8140427","仁愛簡易型分行","台北市仁愛路二段４７號","02 23418822"
"8140438","澄清簡易型分行","高雄縣鳥松鄉大埤路１２３號","07 7326501"
"8140449","南屯簡易型分行","台中市南屯區五權西路二段２３０號","04 24716066"
"8140450","永和簡易型分行","台北縣永和市中山路一段１４５號","02 89219218"
"8140461","小港簡易型分行","高雄市小港區漢民路６７８號","07 8063799"
"8140472","竹北簡易型分行","新竹縣竹北市博愛街５１５號","03 6563500"
"8140483","北桃園分行","桃園縣桃園市大興西路一段１９４號１，２樓","03 3261234"
"8140494","永春簡易型分行","台北市忠孝東路五段４７８號","02 27230688"
"8140508","圓山簡易型分行","台北市中山區中山北路三段４７號","02 25986598"
"8140519","豐原簡易型分行","台中縣豐原市仁愛街６號１樓","04 25156777"
"8140520","彰化簡易型分行","彰化縣彰化市中興路１４０號","04 7291688"
"8140531","北高雄簡易型分行","高雄市左營區裕誠路２９１號","07 5560566"
"8140542","大里分行","台中縣大里市德芳路２段１１３號１－３樓","04 24180538"
"8140553","北台中簡易型分行","台中市北屯區崇德路二段５７號","04 22328800"
"8140564","中屏簡易型分行","屏東縣屏東市民生路２９０號","08 7655959"
"8140575","旗津分行","高雄市旗津區廟前路１０６號","07 5715898"
"8140586","左營分行","高雄市左營區左營大路２５５號","07 5815136"
"8140597","鹽埕分行","高雄市鹽埕區大仁路９２號","07 5211202"
"8140601","前鎮分行","高雄市前鎮區草衙二路５１７號","07 8214581"
"8140612","明誠分行","高雄市左營區明誠二路３５９號","07 5567188"
"8140726","中正分行","台北市中正區漢口街一段４５號、４７號","02 23113166"
