"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"815","日盛國際商業銀行","14位","台北市重慶南路一段１０號","02 23889888"
"通匯金融代號","支單位名稱","地址","電話"
"8150015","營業部","台北市重慶南路一段１０號","02 23889888"
"8150026","松江分行","台北市松江路６８號","02 25628888"
"8150037","延平分行","台北市長安西路１００號","02 25559888"
"8150048","內湖分行","台北市內湖路一段２４６號１樓","02 87519588"
"8150059","桃園分行","桃園縣桃園市中山路７７５號１樓之１","03 2281888"
"8150060","台中分行","台中市公益路二段５１號","04 23289988"
"8150071","台南分行","台南市東門路一段３５８號","06 2758888"
"8150093","高雄分行","高雄市前金區七賢二路２６７號","07 2915888"
"8150107","新莊分行","台北縣新莊市思源路４２７號１樓","02 29920888"
"8150118","中壢分行","桃園縣中壢市復興路７６號","03 4279888"
"8150129","松山分行","台北市南京東路四段１３０號","02 25789888"
"8150130","松南分行","台北市忠孝東路五段５０２號","02 27275188"
"8150141","八德分行","桃園縣八德鄉介壽路一段８８０號","03 3672888"
"8150163","板橋分行","台北縣板橋市館前東路１１０號","02 29522888"
"8150174","信義分行","台北市基隆路二段１０９號","02 27399888"
"8150185","苓雅分行","高雄市苓雅區復興二路９號１樓","07 3340688"
"8150196","前金分行","高雄市中華四路２９３號","07 2119888"
"8150211","嘉義分行","嘉義市林森西路１６９號","05 2257888"
"8150222","三重分行","台北縣三重市正義北路１４６號","02 89811188"
"8150233","北台中分行","台中市進化北路３３２號","04 22341188"
"8150244","雙和分行","台北縣中和市中和路３２２號","02 32338388"
"8150255","士林分行","台北市承德路四段２２０號","02 88611888"
"8150266","樹林分行","台北縣樹林市中山路一段２７６號","02 86875888"
"8150277","北桃園分行","桃園縣桃園市中正路１２０３號１樓","03 3150888"
"8150288","新竹分行","新竹市光復路二段５１３號１樓","03 5613588"
"8150299","敦化分行","台北市敦化南路二段１８０號","02 27339888"
"8150303","三民分行","高雄市三民區建工路８５６號１、２樓","07 3853688"
"8150314","新營分行","台南縣新營市中山路１６９號","06 6335888"
"8150325","頭份分行","苗栗縣頭份鎮中華路９２６號","03 7692188"
"8150336","大里分行","台中縣大里市東榮路２１９號","04 24876888"
"8150347","光復分行","新竹市中正路２２５號","03 5320588"
"8150358","員林分行","彰化縣員林鎮中山南路１８號","04 8390988"
"8150369","虎尾分行","雲林縣虎尾鎮德興路９７號","05 6335658"
"8150370","屏東分行","屏東縣屏東市仁愛路８８－２號","08 7326688"
"8150381","南門分行","台北市南海路３之１號","02 23569788"
"8150392","仁愛分行","台北市新生南路２段１０號","02 23419788"
"8150406","敦北分行","台北市松山區敦化北路２１４號１樓","02 25147688"
"8150417","南京分行","台北市南京東路二段１１１號１樓","02 25047688"
"8150428","竹北分行","新竹縣竹北市縣政二路２６９號","03 6570988"
"8150439","安平分行","台南市安平區永華路二段５０６號","06 2932088"
