"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"816","安泰商業銀行","14位","台北市民生東路三段１５８號","02 27189999"
"通匯金融代號","支單位名稱","地址","電話"
"8160016","長安東路分行","台北市長安東路一段２７號","02 25629999"
"8160027","信義分行","台北市信義路四段２８１號","02 27049999"
"8160038","營業部","台北市民生東路三段１５８號","02 25463999"
"8160049","敦南分行","台北市敦化南路二段９７號３Ｆ","02 27039999"
"8160050","桃園分行","桃園縣桃園市中山東路２１號","03 3389999"
"8160061","新莊分行","台北縣新莊市富國路３２號","02 29088999"
"8160072","台中分行","台中市公益路２９９號","04 23195599"
"8160083","高雄分行","高雄市苓雅區民權一路８７號１樓","07 3359999"
"8160094","台南分行","台南市中山路５２號１樓","06 2211899"
"8160108","興隆分行","台北市興隆路三段１１號１樓","02 86632599"
"8160119","延平分行","台北市南京西路２０５∣２０９號","02 25596969"
"8160120","中壢分行","桃園縣中壢市中山路８８號","03 4276999"
"8160131","板橋分行","台北縣板橋市三民路二段４０號","02 29539999"
"8160142","豐原分行","台中縣豐原市信義街６７巷１５號","04 25255999"
"8160153","前金分行","高雄市前金區七賢二路１５７號","07 2887999"
"8160164","中和分行","台北縣中和市中和路１１８號","02 22478999"
"8160186","鳳山分行","高雄縣鳳山市凱旋路３３９號","07 7653999"
"8160197","松江分行","台北市松江路６６號","02 25361999"
"8160201","中崙分行","台北市八德路三段３６號","02 25700999"
"8160212","嘉義分行","嘉義市仁愛路３８１號","05 2161789"
"8160223","三重簡易型分行","台北縣三重市正義北路１３８號","02 29827799"
"8160245","沙鹿分行","台中縣沙鹿鎮大同街１５之５號","04 26358989"
"8160256","新竹分行","新竹市中山路１６３號","03 5249999"
"8160267","員林分行","彰化縣員林鎮育英路２４號","04 8316769"
"8160278","建國分行","台北市建國北路二段１３５號","02 25185999"
"8160289","北高雄分行","高雄市富國路１８５號","07 5561999"
"8160290","新店分行","台北縣新店市寶中路一一九號","02 29171999"
"8160304","和平分行","台北市和平東路一段１４５號１樓","02 23973720"
"8160315","成功分行","台北市內湖區成功路３段１７４巷８號１樓","02 87919959"
"8160326","通化簡易型分行","台北市通化街２９號１樓","02 27066010"
"8160337","南門分行","台北市南昌路二段８５號１樓","02 23518050"
"8160348","汀州簡易型分行","台北市汀州路二段４８號１樓","02 23659121"
"8160359","農安分行","台北市農安街２５號","02 25965099"
"8160360","景美分行","台北市羅斯褔路五段１７２號１樓","02 29330234"
"8160371","民權分行","台北市民權東路二段２４號１樓","02 25377001"
"8160382","松山分行","台北市松山路５４５號１樓","02 27265142"
"8160393","內湖簡易型分行","台北市康樂街１２號１樓","02 26339201"
"8160407","忠孝分行","台北市忠孝東路四段２３１之１號","02 27111699"
"8160418","蘆洲分行","台北縣蘆洲市三民路７２號","02 82833999"
"8160429","永康分行","台南縣永康市中華路５３６號","06 3023789"
"8160430","西壢分行","桃園縣中壢市環北路３９４號","03 4263899"
"8160441","北桃園簡易型分行","桃園縣桃園市永安路２２３號","03 3349899"
"8160452","幸福分行","台北縣新莊市幸福路６７６之１號１樓","02 89932828"
"8160463","天母分行","台北市忠誠路一段４８號","02 28381177"
"8160474","龍潭簡易型分行","桃園縣龍潭鄉中正路２１７號","03 4995869"
"8160485","復興分行","台北市復興北路５６號１樓","02 27811988"
"8160496","永吉簡易型分行","台北市永吉路２９２號","02 27425099"
"8160500","石牌簡易型分行","台北市北投區承德路７段１０８號","02 28289239"
"8160511","八德簡易型分行","桃園縣八德市介壽路一段９４１號１樓","03 3756986"
"8160522","竹北簡易型分行","新竹縣竹北市中正東路１９５號","03 6561789"
"8160533","永和分行","台北縣永和市中正路４６７號","02 29258799"
"8160544","西湖簡易型分行","台北市內湖路１段１５５號１樓","02 26560899"
"8160555","土城簡易型分行","台北縣土城市學府路一段１６７號","02 82623899"
