"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"822","中國信託商業銀行","存、放款類12、13位亦可\n代收業務類12-14位","台北市松壽路３號","02 27222002"
"通匯金融代號","支單位名稱","地址","電話"
"8220015","敦北分行","台北市敦化北路１２２號","02 27133322"
"8220026","台中分行","台中市民族路５０號","04 22292161"
"8220037","高雄分行","高雄市中正四路１６８號","07 2318141"
"8220059","台南分行","台南市中正路３１號","06 2295151"
"8220060","三重分行","台北縣三重市正義北路２０８號","02 29828121"
"8220071","城東分行","台北市南京東路二段８８號","02 25677377"
"8220082","嘉義分行","嘉義市民生北路２４１號","05 2286600"
"8220093","中崙分行","台北市八德路四段８５號","02 27672669"
"8220107","城中分行","台北市重慶南路一段８３號","02 23818740"
"8220118","三民分行","高雄市九如二路３６６號","07 3161155"
"8220129","中壢分行","桃園縣中壢市延平路５００號","03 4223131"
"8220130","雙和分行","台北縣永和市中正路５８８號","02 29233333"
"8220141","中山分行","台北市中山北路二段１０６號之２","02 25235222"
"8220152","仁愛分行","台北市仁愛路四段３４１號","02 27754600"
"8220163","敦南分行","台北市敦化南路二段６８號","02 23253616"
"8220174","板橋分行","台北縣板橋市文化一路１８７號","02 29606600"
"8220185","忠孝分行","台北市忠孝東路四段７１號","02 27520310"
"8220196","新興分行","高雄市民生一路２０６號","07 2262325"
"8220200","南京東路分行","台北市南京東路一段１６號","02 25232238"
"8220222","西台南分行","台南市金華路四段２１２號","06 2263636"
"8220255","松山分行","台北市忠孝東路五段５５０號","02 23466711"
"8220266","新莊分行","台北縣新莊市中正路３２０號","02 29929696"
"8220277","桃園分行","桃園縣桃園市成功路一段３２號","03 3373266"
"8220288","中港分行","台中市台中港路一段４００號","04 23149999"
"8220299","新竹分行","新竹市中正路１５８號","03 5222687"
"8220303","蘆洲分行","台北縣蘆洲市中山一路２０８號","02 28482008"
"8220314","新店分行","台北縣新店市北新路二段６∣８號","02 29129988"
"8220325","員林分行","彰化縣員林鎮中正路３７２號","04 8368676"
"8220336","東新竹分行","新竹市建中路３２號","03 5749190"
"8220347","公館分行","台北市羅斯福路三段２８１號","02 23623377"
"8220358","永康分行","台南縣永康市中華路４２５號","06 2025787"
"8220369","土城分行","台北縣土城市中央路二段３０４號","02 22630888"
"8220370","頭份分行","苗栗縣頭份鎮中華路９５１號１樓","037695678"
"8220381","基隆分行","基隆市信一路１５０號","02 24221166"
"8220392","豐原分行","台中縣豐原市中正路５４５號","04 25201010"
"8220406","天母分行","台北市中山北路六段９０號","02 28322888"
"8220417","板新分行","台北縣板橋市中山路一段２９３號之一號","02 89611500"
"8220428","彰化分行","彰化縣彰化市曉陽路７６號","04 7279933"
"8220439","東高雄分行","高雄市青年一路２９號","07 5351885"
"8220440","中華分行","台南市中華東路二段１９５號","06 3353535"
"8220451","內湖分行","台北市成功路四段３５８號","02 27938668"
"8220462","斗六分行","雲林縣斗六市興華街２號１樓","05 5360099"
"8220473","文心分行","台中市文心路四段８７５號","04 22469988"
"8220484","重陽分行","台北縣三重市重陽路一段６６號","02 89881199"
"8220495","永吉分行","台北市永吉路１６號","02 27617999"
"8220509","前鎮簡易型分行","高雄市瑞隆路４８０號","07 7261066"
"8220510","南崁分行","桃園縣蘆竹鄉中正路２５７號","03 3212211"
"8220521","永和分行","台北縣永和市中山路一段２１５號","02 89235008"
"8220532","公益分行","台中市公益路二段５３號","04 23291111"
"8220543","市府分行","台北市信義區松高路９號","02 27221668"
"8220554","經國分行","新竹市經國路一段３７５號１樓","03 5357655"
"8220565","右昌簡易型分行","高雄市楠梓區後昌路８０３之３號","07 3681699"
"8220576","江翠分行","台北縣板橋市雙十路三段８號１樓","02 22578999"
"8220587","東湖簡易型分行","台北市內湖區康寧路三段１８２號１樓","02 26312288"
"8220598","中原分行","桃園縣中壢市中北路２段４４５號１樓","03 4662211"
"8220602","大安分行","台北市羅斯福路二段１０２號","02 33651988"
"8220613","北高雄分行","高雄市三民區明誠二路５２號","07 3461199"
"8220624","承德分行","台北市承德路一段１７號","02 25562088"
"8220635","復興分行","台北市仁愛路四段４６號","02 27099009"
"8220646","石牌分行","台北市北投區石牌路二段４６號１樓","02 28213366"
"8220657","城北分行","台北市中山區松江路２１８號","02 25623789"
"8220668","萬華分行","台北市萬華區長沙街二段９２號１樓","02 23898188"
"8220679","西松分行","台北市松山區南京東路四段１６１號","02 27177100"
"8220680","北投分行","台北市北投區光明路２１７號１樓","02 28983039"
"8220691","安和分行","台北市安和路二段１９３號","02 27386171"
"8220705","大同簡易型分行","台北市大同區重慶北路三段１９６號","02 25982366"
