通匯金融代號	總單位名稱	帳號長度	地址	電話
825	慶豐商業銀行	14位	台北市南陽街１號	02 23114881
通匯金融代號	支單位名稱	地址	電話
8250041	忠孝分行	台北市忠孝東路四段１８０號	02 27316177
8250052	大同分行	台北市南京西路６６號	02 25585869
8250063	新竹分行	新竹市經國路二段１００號	03 5333131
8250074	台中分行	台中市自由路二段８號	04 22298181
8250085	嘉義分行	嘉義市文化路２７２號	05 2785911
8250096	台南分行	台南市忠義路二段２８號	06 2289121
8250100	高雄分行	高雄市中正四路１４３號	07 2822101
8250133	營業部	台北市南陽街１號	02 23114881
8250144	三重分行	台北縣三重市三和路三段９２號	02 29829192
8250155	苓雅分行	高雄市青年一路１９１號	07 3369066
8250166	信義分行	台北市光復南路５０５號	02 27207755
8250177	板橋分行	台北縣板橋市中山路二段２５號	02 29632787
8250188	中山分行	台北市民生東路一段７０號	02 25238899
8250199	中壢分行	桃園縣中壢市中正路３３２號	03 4919889
8250203	松山分行	台北市忠孝東路五段６７５號	02 87857618
8250214	員林分行	彰化縣大同路一段４３５號１樓	04 8328389
8250236	大安分行	台北市新生南路一段１５５號	02 27090636
8250247	三民分行	高雄市九如二路１８０號	07 3160666
8250269	新莊分行	台北縣新莊市中正路２６７號	02 29905858
8250270	桃園分行	桃園縣桃園市民生路２０８號	03 3397890
8250281	士林分行	台北市中山北路五段６２６號	02 28325788
8250292	文心分行	台中市文心路四段１８０號	04 22973266
8250306	鳳山分行	高雄縣鳳山市青年路二段２０１號	07 7778600
8250317	永康分行	台南縣永康市中正南路３０號１樓	06 2515777
8250339	新店分行	台北縣新店市北新路二段２６８號	02 86656188
8250340	民生分行	台北市敦化北路２０７號之２	02 25475188
8250351	南投分行	南投縣南投市三和二路一一號	0492223311
8250362	中和分行	台北縣中和市中正路７４８號	02 82269000
8250373	大里分行	台中縣大里市益民路二段１２１號	04 24823899
8250384	彰化分行	彰化縣彰化市民生路２３３號	04 7289188
8250395	草屯分行	南投縣草屯鎮中正路６８９號	0492354211
8250409	南門分行	台北市羅斯福路三段５０號	02 23695600
8250410	北桃園分行	桃園縣桃園市莊敬路一段３７５號	03 3460000
8250421	土城分行	台北縣土城市中央路２段４２號	02 82731688
