"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"901","大里市農會","","台中縣大里市新興路１０１號","04 24062131"
"通匯金融代號","支單位名稱","地址","電話"
"9010015","大里市農會","台中縣大里市新興路１０１號","04 24062131"
"9010026","內新辦事處","台中縣大里市中興路二段５０６號","04 24850920"
"9010037","草湖辦事處","台中縣大里市中興路一段１１１號","04 24933512"
"9010048","健民辦事處","台中縣大里市文化路３號","04 24912421"
"9010059","東榮辦事處","台中縣大里市東榮路１７３號","04 24815581"
"9010060","金城辦事處","台中縣大里市中興路一段３０８－１１號","04 24922853"
"9010071","十九甲辦事處","台中縣大里市新仁路一段１２１號","04 22781000"
"9010093","仁化辦事處","台中縣大里市仁化路５５１號","04 24910905"
"9010107","國光辦事處","台中縣大里市國光路二段６４９號","04 24075536"
"9010118","成功辦事處","台中縣大里市成功路５２９號","04 24927888"
