"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"904","臺北縣新莊市農會","14位","台北縣新莊市中正路８０號","02 29917171"
"通匯金融代號","支單位名稱","地址","電話"
"9040018","臺北縣新莊市農會信用部","台北縣新莊市中正路８０號","02 29917171"
"9040029","丹鳳分部","台北縣新莊市中正路７０２∣３號","02 29033436"
"9040030","頭前分部","台北縣新莊市化成路１４７號","02 29974921"
"9040063","西盛分部","台北縣新莊市民安西路１５號","02 22052942"
"9040074","中港分部","台北縣新莊市中港路３６９號","02 29974781"
"9040085","後港分部","台北縣新莊市後港一路１２０號","02 22048864"
"9040096","營盤分部","台北縣新莊市中正路５９９號","02 29038158"
"9040100","瓊林分部","台北縣新莊市瓊泰路７之１號","02 22057172"
"9040111","思源分部","台北縣新莊市中原路５５號","02 29903545"
"9040122","新泰分部","台北縣新莊市中平路３號","02 22774742"
