"通匯金融代號","總單位名稱","帳號長度","地址","電話"
"954","財團法人農漁會中區資訊中心","14位","台中縣霧峰鄉四德路１０號５Ｆ","04 23334800"
"通匯金融代號","支單位名稱","地址","電話"
"9547609","七股鄉農會","台南縣七股鄉大埕村２７２號","06 7871711"
"9540208","二水鄉農會","彰化縣二水鄉聖化村員集路三段６７８號","04 8792111"
"9543106","三義鄉農會","苗栗縣三義鄉中正路８０號","037872001"
"9543117","鯉魚潭分部","苗栗縣三義鄉鯉魚潭村鯉魚口５７∣１號","037881164"
"9541308","三灣鄉農會","苗栗縣三灣鄉三灣村中正路１７６號","037831207"
"9547908","下營鄉農會","台南縣下營鄉新興村６３８號","06 6894655"
"9547919","中興分部","台南縣下營鄉下營村７２９號","06 6892114"
"9547920","中營分部","台南縣下營鄉開化村２６２號","06 6892050"
"9547931","甲中辦事處","台南縣下營鄉甲中村中庄仔６９之１０號","06 6895421"
"9546303","土庫鎮農會","雲林縣土庫鎮越港里建國路３７－１號","05 6623111"
"9546314","馬光分部","雲林縣土庫鎮馬光路６０∣５號","05 6654611"
"9546325","新庄辦事處","雲林縣土庫鄉新庄里２０８號","05 6654133"
"9546336","忠正辦事處","雲林縣土庫鎮中山路１９２號","05 6629111"
"9546358","後埔分部","雲林縣土庫鎮後埔里１３鄰１５２－４號","05 6657758"
"9547104","大內鄉農會","台南縣大內鄉大內村９號","06 5761017"
"9547115","二溪辦事處","台南縣大內鄉曲溪村１號之１７號","06 5762274"
"9547126","頭社分部","台南縣大內鄉頭社村２８號","06 5763412"
"9547137","環湖分部","台南縣大內鄉環湖村５８號之２","06 5760268"
"9544000","大甲鎮農會","台中縣大甲鎮文武路１０號","04 26863990"
"9544011","順天分部","台中縣大甲鎮順天路２１１號","04 26875125"
"9544022","日南分部","台中縣大甲鎮中山路二段２０２號","04 26813701"
"9544033","西岐分部","台中縣大甲鎮順帆路１０５號","04 26811781"
"9544044","幼獅分部","台中縣大甲鎮幼四路４５號","04 26818065"
"9544055","庄美辦事處","台中縣大甲鎮文武路２１１之６號","04 26869455"
"9540600","大安鄉農會","台中縣大安鄉中松路６號","04 26712229"
"9540611","海墘辦事處","台中縣大安鄉大安港路１１４９號","04 26873560"
"9540622","松雅辦事處","台中縣大安鄉大安港路５９７號","04 26868706"
"9545409","大村鄉農會","彰化縣大村鄉中正西路９２號","04 8520327"
"9545410","大村分部","彰化縣大村鄉茄苳路一段１２號","04 8524035"
"9545421","美港分部","彰化縣大村鄉中山路一段１１號","04 8358649"
"9545432","大西辦事處","彰化縣大村鄉大崙路１０之３７號","04 8525846"
"9545443","村東辦事處","彰化縣大村鄉山腳路１０８之３號","04 8528723"
"9540806","大肚鄉農會","台中縣大肚鄉沙田路二段６８３號","04 26991161"
"9540817","王田辦事處","台中縣大肚鄉沙田路一段８５號","04 26933754"
"9540828","福山辦事處","台中縣大肚鄉沙田路一段５４６∣２號","04 26930393"
"9540839","蔗廓辦事處","台中縣大肚鄉遊園路二段９５號","04 26911966"
"9540840","成功辦事處","台中縣大肚鄉文昌路５３４∣２號","04 26997335"
"9545708","大城鄉農會","彰化縣大城鄉南平路２５６號","04 8944565"
"9545719","西港分部","彰化縣大城鄉中央路５∣１１號","04 8945279"
"9543209","大湖地區農會","苗栗縣大湖鄉富興村九鄰八寮灣２－７號","037997075"
"9543210","新開分部","苗栗縣大湖鄉新開村新開２８∣６號","037951336"
"9543221","南湖分部","苗栗縣大湖鄉義和村淋漓坪１∣５號","037995222"
"9543232","清安分部","苗栗縣泰安鄉清安村洗水坑１１號","037941028"
"9543243","大湖分部","苗栗縣大湖鄉明湖村九鄰中原路１６號","037994805"
"9549407","大雅鄉農會","台中縣大雅鄉中清路二段１３６號","04 25662216"
"9549418","上楓辦事處","台中縣大雅鄉民生路４６３之４號","04 25681406"
"9549429","馬岡辦事處","台中縣大雅鄉建興路１９５號","04 25661233"
"9549430","忠義辦事處","台中縣大雅鄉中清路四段３３７之９號","04 25662270"
"9549452","橫山分部","台中縣大雅鄉永和路３０－１號","04 25675730"
"9547403","山上鄉農會","台南縣山上鄉南洲村６號","06 5781811"
"9546705","中埔鄉農會","嘉義縣中埔鄉中埔村１３０號","05 2532201"
